timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:38:59.661, NVIDIA GeForce RTX 4090, 79 %, 31 %, 17451 MiB, 273.24 W
2026/01/03 15:39:00.672, NVIDIA GeForce RTX 4090, 93 %, 60 %, 17441 MiB, 313.13 W
2026/01/03 15:39:01.674, NVIDIA GeForce RTX 4090, 96 %, 48 %, 17954 MiB, 304.08 W
2026/01/03 15:39:02.677, NVIDIA GeForce RTX 4090, 79 %, 14 %, 17844 MiB, 271.29 W
2026/01/03 15:39:03.680, NVIDIA GeForce RTX 4090, 83 %, 59 %, 17454 MiB, 285.21 W
2026/01/03 15:39:04.682, NVIDIA GeForce RTX 4090, 88 %, 55 %, 17566 MiB, 319.82 W
2026/01/03 15:39:05.684, NVIDIA GeForce RTX 4090, 96 %, 24 %, 17950 MiB, 280.06 W
2026/01/03 15:39:06.687, NVIDIA GeForce RTX 4090, 96 %, 22 %, 17949 MiB, 279.69 W
2026/01/03 15:39:07.689, NVIDIA GeForce RTX 4090, 78 %, 73 %, 17456 MiB, 295.88 W
2026/01/03 15:39:08.693, NVIDIA GeForce RTX 4090, 89 %, 66 %, 17410 MiB, 305.19 W
2026/01/03 15:39:09.696, NVIDIA GeForce RTX 4090, 96 %, 34 %, 17946 MiB, 298.67 W
2026/01/03 15:39:10.706, NVIDIA GeForce RTX 4090, 87 %, 11 %, 17836 MiB, 261.84 W
2026/01/03 15:39:11.710, NVIDIA GeForce RTX 4090, 87 %, 57 %, 17400 MiB, 312.57 W
2026/01/03 15:39:12.718, NVIDIA GeForce RTX 4090, 98 %, 38 %, 17954 MiB, 296.32 W
2026/01/03 15:39:13.721, NVIDIA GeForce RTX 4090, 73 %, 38 %, 17842 MiB, 267.49 W
2026/01/03 15:39:14.723, NVIDIA GeForce RTX 4090, 92 %, 71 %, 17954 MiB, 313.90 W
2026/01/03 15:39:15.726, NVIDIA GeForce RTX 4090, 79 %, 35 %, 17862 MiB, 266.40 W
2026/01/03 15:39:16.728, NVIDIA GeForce RTX 4090, 82 %, 66 %, 17951 MiB, 311.10 W
2026/01/03 15:39:17.731, NVIDIA GeForce RTX 4090, 77 %, 33 %, 17826 MiB, 264.23 W
2026/01/03 15:39:18.733, NVIDIA GeForce RTX 4090, 75 %, 62 %, 17440 MiB, 292.65 W
2026/01/03 15:39:19.736, NVIDIA GeForce RTX 4090, 98 %, 37 %, 17954 MiB, 301.96 W
2026/01/03 15:39:20.738, NVIDIA GeForce RTX 4090, 95 %, 35 %, 17956 MiB, 275.92 W
2026/01/03 15:39:21.740, NVIDIA GeForce RTX 4090, 79 %, 77 %, 17954 MiB, 296.17 W
2026/01/03 15:39:22.742, NVIDIA GeForce RTX 4090, 98 %, 38 %, 18006 MiB, 295.18 W
2026/01/03 15:39:23.752, NVIDIA GeForce RTX 4090, 97 %, 37 %, 18054 MiB, 280.12 W
2026/01/03 15:39:24.756, NVIDIA GeForce RTX 4090, 96 %, 22 %, 18061 MiB, 280.08 W
